Date;Class;lat;long
23.04.1969;9.000;43.100;46.100
23.04.1969;9.000;43.200;46.200
24.04.1969;9.000;41.700;45.900
24.04.1969;8.000;42.830;45.500
06.05.1969;10.000;42.000;45.700
16.05.1969;9.000;43.200;46.600
23.05.1969;8.000;42.050;45.970
23.05.1969;8.000;42.830;46.180
14.06.1969;9.000;41.800;46.500
17.06.1969;8.500;41.600;46.820
17.06.1969;13.180;43.270;45.190
17.06.1969;11.020;43.200;45.200
18.06.1969;10.300;43.100;45.100
27.06.1969;7.900;41.870;46.070
28.06.1969;9.000;43.500;45.600
30.06.1969;8.200;43.470;45.600
05.07.1969;8.300;43.350;45.520
09.07.1969;9.000;41.200;46.200
18.07.1969;9.000;42.820;45.900
19.07.1969;10.000;41.600;48.700
19.07.1969;8.000;42.950;47.000
29.07.1969;8.000;42.400;47.300
04.08.1969;9.100;43.400;46.000
09.08.1969;8.200;41.580;46.470
19.08.1969;11.000;41.300;46.900
19.08.1969;9.000;41.380;47.170
28.08.1969;8.000;42.370;46.070
28.08.1969;7.600;42.370;46.070
28.08.1969;11.000;41.000;48.700
29.08.1969;10.000;41.000;48.670
29.08.1969;10.000;41.000;48.660
30.08.1969;7.600;41.450;45.950
31.08.1969;7.600;41.000;48.730
01.09.1969;7.900;41.100;48.770
01.09.1969;8.000;41.100;48.770
02.09.1969;9.000;41.900;45.900
11.09.1969;9.000;41.100;48.750
17.09.1969;9.000;43.000;45.800
20.09.1969;9.000;41.300;48.700
27.09.1969;10.000;42.000;47.200
27.09.1969;8.800;41.080;48.800
06.10.1969;8.400;42.750;45.730
07.10.1969;10.000;42.000;47.250
09.10.1969;9.000;42.800;47.200
09.10.1969;7.300;42.730;45.670
17.10.1969;8.300;41.230;46.330
21.10.1969;9.600;41.400;46.380
27.10.1969;8.500;41.370;46.580
04.11.1969;8.500;42.930;45.920
04.11.1969;7.900;43.370;46.170
07.11.1969;8.500;42.170;45.550
07.11.1969;8.500;42.200;45.580
07.11.1969;8.300;42.230;45.580
09.11.1969;7.300;42.770;45.750
09.11.1969;9.000;41.400;46.200
11.11.1969;11.000;41.300;46.800
13.11.1969;11.000;42.700;46.220
14.11.1969;9.000;41.300;46.800
16.11.1969;9.000;41.300;46.800
18.11.1969;9.000;43.300;45.600
19.11.1969;9.000;41.300;48.520
19.11.1969;7.800;42.780;45.730
23.11.1969;8.200;41.920;46.200
25.11.1969;10.000;41.900;46.400
26.11.1969;7.700;41.330;46.830
27.11.1969;9.800;42.970;45.530
11.12.1969;8.000;41.000;48.420
20.12.1969;9.000;43.200;46.600
27.12.1969;8.200;42.880;45.670
28.12.1969;9.000;42.970;45.630
03.01.1970;9.000;41.900;46.400
06.01.1970;8.500;41.900;46.100
07.01.1970;8.300;41.900;46.100
29.01.1970;9.000;41.200;46.000
01.02.1970;8.000;41.900;45.800
15.02.1970;8.200;41.330;46.830
15.02.1970;9.000;41.300;46.000
19.02.1970;9.000;42.100;45.700
07.03.1970;8.300;41.900;46.100
15.03.1970;9.000;41.300;48.500
18.03.1970;10.000;41.400;45.800
21.03.1970;8.000;41.800;45.900
02.04.1970;9.000;41.300;48.100
05.04.1970;8.000;41.700;48.800
14.04.1970;8.000;42.000;46.500
23.04.1970;8.000;43.000;46.400
25.04.1970;10.000;41.200;46.030
26.04.1970;10.100;41.200;46.030
26.04.1970;7.000;41.220;46.030
28.04.1970;7.000;41.180;45.830
07.05.1970;8.000;42.400;45.500
14.05.1970;13.600;42.990;47.120
14.05.1970;12.500;43.020;47.220
14.05.1970;10.000;42.900;47.200
14.05.1970;9.000;42.930;46.700
14.05.1970;9.000;43.000;47.200
14.05.1970;9.000;42.900;47.200
14.05.1970;9.000;42.900;47.100
14.05.1970;9.000;42.900;47.100
14.05.1970;10.000;42.900;47.200
14.05.1970;9.000;43.000;47.100
